,ad_unit_id,site_id,ad_type_id,geo_id,device_category_id,os_id,monetization_channel_id,CPM_or_Reserve_price
0,5174,351,10,187,2,60,4,211.09215
1,5174,351,10,187,2,58,4,497.7447
2,5174,351,10,147,2,60,4,0
3,5174,351,10,147,2,58,4,0
4,5138,348,10,147,3,59,19,0
5,5144,348,10,147,3,59,19,0
6,5169,351,17,191,1,56,19,0
7,5169,351,17,187,5,56,19,0
8,5169,351,17,187,3,59,19,0
9,5169,351,17,187,3,55,19,0
10,5169,351,17,187,2,60,19,0
11,5169,351,17,187,2,58,19,0
12,5169,351,17,187,1,56,19,0
13,5169,351,17,183,3,59,19,0
14,5169,351,17,183,3,55,19,0
15,5169,351,17,183,2,60,19,0
16,5169,351,17,183,2,58,19,0
17,5169,351,17,183,1,56,19,0
18,5169,351,17,176,1,56,19,0
19,5169,351,17,163,2,58,19,0
20,5169,351,17,163,1,56,19,0
21,5169,351,17,147,1,56,19,0
22,5169,351,17,146,2,58,19,0
23,5169,351,17,146,1,56,19,0
24,5169,351,17,143,1,56,19,0
25,5169,351,17,140,1,56,19,0
26,5169,351,17,139,1,56,19,0
27,5169,351,17,129,3,59,19,0
28,5169,351,17,129,2,58,19,0
29,5169,351,17,129,1,56,19,0
30,5169,351,17,122,2,58,19,0
31,5169,351,17,122,1,56,19,0
32,5169,351,17,113,3,59,19,0
33,5169,351,17,113,3,55,19,0
34,5169,351,17,113,1,56,19,0
35,5169,351,17,112,1,56,19,0
36,5169,351,17,107,2,58,19,0
37,5169,351,17,92,1,56,19,0
38,5169,351,17,88,1,56,19,0
39,5169,351,17,83,2,58,19,0
40,5169,351,17,83,1,56,19,0
41,5169,351,17,80,3,59,19,0
42,5169,351,17,80,2,58,19,0
43,5169,351,17,68,1,56,19,0
44,5169,351,17,59,2,58,19,0
45,5169,351,17,43,2,58,19,0
46,5169,351,17,36,2,58,19,0
47,5169,351,17,33,3,59,19,0
48,5169,351,17,33,3,55,19,0
49,5169,351,17,33,2,60,19,0
50,5169,351,17,33,2,58,19,0
51,5169,351,17,33,1,56,19,0
52,5169,351,17,27,1,56,19,0
53,5169,351,17,24,1,56,19,0
54,5169,351,17,14,1,56,19,0
55,5169,351,17,11,3,59,19,0
56,5169,351,17,11,3,55,19,0
57,5169,351,17,11,2,58,19,0
58,5169,351,17,11,1,56,19,0
59,5169,351,17,10,2,60,19,0
60,5169,351,17,10,1,56,19,0
61,5169,351,17,1,1,56,19,0
62,5169,351,17,308,1,56,19,0
